Bed Occupancy Rate,,,,,,,,,
,,Hospital,,,,,,,
Years,Date,AH,CGH,KTPH,NTFGH,NUH(A),SGH,SKH,TTSH
2018,01/01/2018,39.9%,81.3%,96.8%,78.9%,73.5%,74.3%,,93.6%
2018,02/01/2018,38.2%,85.8%,100.0%,84.7%,78.4%,83.8%,,93.4%
2018,03/01/2018,39.9%,86.4%,99.9%,87.5%,83.1%,88.1%,,92.5%
2018,04/01/2018,42.4%,85.5%,100.0%,87.1%,82.6%,87.5%,,91.9%
2018,05/01/2018,42.9%,84.4%,100.0%,84.3%,79.8%,84.8%,,90.5%
2018,06/01/2018,43.3%,83.0%,97.2%,84.5%,76.3%,82.9%,,88.7%
2018,07/01/2018,45.4%,86.2%,99.7%,88.6%,77.2%,85.0%,,92.9%
2018,08/01/2018,46.2%,88.1%,100.0%,92.4%,83.5%,87.7%,,91.4%
2018,09/01/2018,55.9%,87.5%,99.9%,89.2%,85.3%,88.9%,,94.1%
2018,10/01/2018,55.5%,86.6%,97.2%,89.6%,84.8%,89.3%,,92.3%
2018,11/01/2018,51.3%,86.3%,94.7%,83.2%,86.4%,88.3%,,92.2%
2018,12/01/2018,45.0%,80.2%,90.0%,78.2%,82.7%,83.1%,,86.2%
2018,13/01/2018,45.4%,80.5%,87.0%,77.1%,79.3%,77.8%,,86.4%
2018,14/01/2018,50.0%,86.0%,88.5%,81.4%,81.7%,80.5%,,91.5%
2018,15/01/2018,46.6%,87.1%,95.6%,87.6%,87.2%,88.1%,,92.5%
2018,16/01/2018,46.2%,86.9%,97.5%,88.4%,88.1%,88.6%,,93.7%
2018,17/01/2018,47.9%,90.0%,96.2%,88.4%,89.0%,88.1%,,95.5%
2018,18/01/2018,45.0%,89.3%,96.0%,87.8%,88.6%,88.9%,,92.4%
2018,19/01/2018,44.5%,87.0%,92.9%,84.4%,86.4%,85.9%,,91.2%
2018,20/01/2018,42.0%,87.7%,91.9%,82.1%,82.1%,81.8%,,92.9%
2018,21/01/2018,45.8%,88.3%,96.8%,89.2%,85.6%,84.6%,,95.0%
2018,22/01/2018,47.9%,90.3%,100.0%,90.4%,90.0%,90.4%,,93.0%
2018,23/01/2018,50.4%,89.2%,98.2%,92.5%,93.0%,90.2%,,94.2%
2018,24/01/2018,50.8%,87.4%,100.0%,87.1%,89.3%,90.2%,,93.4%
2018,25/01/2018,53.8%,85.1%,100.0%,84.9%,86.6%,92.2%,,92.7%
2018,26/01/2018,51.3%,80.8%,97.6%,78.0%,78.8%,87.4%,,91.8%
2018,27/01/2018,53.4%,78.3%,96.6%,78.2%,76.6%,82.3%,,92.2%
2018,28/01/2018,54.6%,83.9%,100.0%,81.4%,79.7%,81.9%,,93.9%
2018,29/01/2018,56.3%,87.0%,100.0%,86.3%,88.1%,89.1%,,93.4%
2018,30/01/2018,54.6%,84.7%,98.4%,85.0%,87.6%,89.3%,,94.4%
2018,31/01/2018,48.3%,83.9%,99.4%,85.0%,87.0%,89.5%,,93.3%
2018,01/02/2018,51.3%,82.6%,100.0%,84.9%,84.4%,90.0%,,91.4%
2018,02/02/2018,47.5%,81.2%,97.3%,77.2%,81.4%,86.2%,,89.4%
2018,03/02/2018,45.8%,81.5%,96.6%,75.4%,72.9%,77.7%,,91.3%
2018,04/02/2018,47.5%,84.6%,99.6%,79.8%,75.2%,78.2%,,95.6%
2018,05/02/2018,47.5%,85.9%,100.0%,84.5%,81.0%,82.9%,,95.5%
2018,06/02/2018,46.2%,83.5%,97.0%,87.3%,82.6%,82.2%,,95.8%
2018,07/02/2018,46.2%,84.3%,99.3%,87.1%,81.7%,82.3%,,93.9%
2018,08/02/2018,44.5%,83.1%,97.0%,85.7%,80.8%,83.6%,,93.9%
2018,09/02/2018,41.2%,81.1%,92.8%,81.1%,77.3%,78.7%,,91.0%
2018,10/02/2018,41.6%,79.6%,91.6%,80.1%,73.9%,72.9%,,90.7%
2018,11/02/2018,42.4%,82.9%,96.2%,83.7%,75.3%,73.8%,,94.7%
2018,12/02/2018,43.3%,84.3%,98.1%,87.3%,79.9%,79.5%,,93.2%
2018,13/02/2018,41.2%,80.6%,90.7%,84.7%,76.5%,74.0%,,90.2%
2018,14/02/2018,37.0%,78.1%,85.4%,76.3%,69.7%,65.9%,,81.2%
2018,15/02/2018,33.6%,67.3%,78.1%,64.1%,60.0%,54.9%,,73.1%
2018,16/02/2018,32.4%,70.1%,82.6%,67.5%,59.0%,56.0%,,77.0%
2018,17/02/2018,37.0%,74.8%,88.8%,73.2%,61.3%,58.0%,,80.6%
2018,18/02/2018,42.4%,79.9%,95.6%,83.9%,68.6%,66.2%,,87.6%
2018,19/02/2018,42.9%,83.6%,100.0%,84.4%,79.2%,78.5%,,91.4%
2018,20/02/2018,40.3%,86.4%,100.0%,88.8%,85.0%,84.3%,,92.5%
2018,21/02/2018,42.4%,87.7%,100.0%,84.3%,85.3%,85.3%,,91.9%
2018,22/02/2018,41.2%,86.6%,98.3%,83.8%,86.3%,86.2%,,92.2%
2018,23/02/2018,40.3%,82.2%,98.6%,80.5%,80.1%,84.1%,,91.5%
2018,24/02/2018,43.3%,80.6%,97.6%,79.4%,75.9%,79.2%,,93.3%
2018,25/02/2018,43.7%,84.7%,100.0%,86.9%,79.6%,81.7%,,95.1%
2018,26/02/2018,39.5%,88.0%,100.0%,90.6%,85.6%,87.6%,,94.1%
2018,27/02/2018,42.9%,86.6%,99.1%,89.9%,88.1%,89.1%,,94.8%
2018,28/02/2018,38.2%,86.4%,97.4%,88.2%,87.9%,88.3%,,92.8%
2018,01/03/2018,54.8%,84.4%,98.1%,88.4%,87.9%,89.6%,,94.0%
2018,02/03/2018,52.4%,82.6%,94.2%,80.5%,85.3%,84.3%,,91.4%
2018,03/03/2018,51.8%,82.2%,94.5%,77.2%,77.4%,78.4%,,92.9%
2018,04/03/2018,57.7%,85.4%,100.0%,81.6%,79.1%,79.5%,,97.1%
2018,05/03/2018,58.3%,88.9%,99.7%,87.9%,87.5%,86.9%,,96.1%
2018,06/03/2018,61.9%,88.2%,99.0%,89.3%,87.2%,88.3%,,95.2%
2018,07/03/2018,63.1%,87.2%,96.0%,87.6%,87.2%,87.7%,,94.7%
2018,08/03/2018,54.8%,87.7%,95.3%,85.4%,86.6%,88.4%,,95.3%
2018,09/03/2018,45.2%,82.2%,91.6%,81.3%,83.8%,85.4%,,93.3%
2018,10/03/2018,40.5%,83.3%,91.0%,77.2%,78.8%,79.8%,,93.0%
2018,11/03/2018,47.6%,85.5%,96.8%,79.0%,79.8%,83.4%,,96.9%
2018,12/03/2018,54.8%,86.8%,98.3%,81.5%,86.0%,87.8%,,96.9%
2018,13/03/2018,54.2%,86.2%,96.2%,82.1%,86.2%,89.3%,,94.3%
2018,14/03/2018,60.7%,87.8%,96.8%,81.7%,84.9%,89.3%,,93.5%
2018,15/03/2018,51.8%,87.1%,93.3%,84.3%,83.3%,90.4%,,92.3%
2018,16/03/2018,44.6%,85.8%,90.9%,81.0%,83.2%,86.9%,,93.0%
2018,17/03/2018,46.4%,83.7%,91.8%,75.1%,80.8%,81.3%,,94.7%
2018,18/03/2018,51.8%,86.3%,96.5%,80.4%,84.4%,82.7%,,97.9%
2018,19/03/2018,52.4%,85.7%,99.4%,87.0%,87.2%,87.6%,,96.2%
2018,20/03/2018,44.6%,85.7%,100.0%,86.6%,88.8%,88.1%,,96.6%
2018,21/03/2018,42.3%,86.2%,98.5%,83.6%,88.6%,89.0%,,94.5%
2018,22/03/2018,41.7%,85.5%,95.3%,86.5%,87.8%,87.6%,,95.0%
2018,23/03/2018,38.1%,82.0%,90.6%,77.8%,85.8%,85.5%,,90.9%
2018,24/03/2018,38.7%,82.3%,86.9%,75.9%,80.2%,80.5%,,90.4%
2018,25/03/2018,44.0%,85.1%,91.1%,82.8%,82.5%,82.5%,,93.6%
2018,26/03/2018,39.3%,87.7%,93.5%,84.5%,83.5%,88.7%,,94.3%
2018,27/03/2018,34.5%,88.2%,93.1%,84.8%,88.3%,89.8%,,94.3%
2018,28/03/2018,38.1%,87.8%,89.5%,85.3%,87.0%,90.7%,,92.8%
2018,29/03/2018,37.5%,82.6%,85.4%,77.6%,84.0%,88.5%,,89.5%
2018,30/03/2018,36.3%,81.1%,83.4%,76.4%,81.0%,81.7%,,91.2%
2018,31/03/2018,37.5%,81.3%,86.1%,78.2%,79.6%,79.7%,,92.3%
2018,01/04/2018,41.1%,85.3%,90.9%,84.6%,84.1%,81.2%,,97.0%
2018,02/04/2018,46.4%,87.6%,94.4%,87.3%,88.8%,89.8%,,97.1%
2018,03/04/2018,51.2%,88.2%,93.1%,87.6%,92.7%,89.3%,,95.5%
2018,04/04/2018,54.2%,89.6%,88.0%,82.8%,90.4%,88.9%,,95.4%
2018,05/04/2018,47.0%,89.1%,86.4%,85.7%,91.5%,89.8%,,95.1%
2018,06/04/2018,40.5%,85.9%,86.7%,82.9%,85.9%,83.7%,,92.9%
2018,07/04/2018,42.9%,87.1%,86.5%,79.6%,81.4%,80.5%,,91.7%
2018,08/04/2018,46.4%,88.9%,92.3%,79.3%,83.4%,83.1%,,93.8%
2018,09/04/2018,54.5%,87.9%,94.2%,85.7%,87.9%,90.0%,,93.4%
2018,10/04/2018,54.5%,87.1%,96.0%,86.5%,88.5%,90.3%,,92.5%
2018,11/04/2018,44.9%,87.6%,92.7%,87.1%,86.0%,89.0%,,89.9%
2018,12/04/2018,49.1%,85.3%,94.9%,86.5%,86.3%,88.2%,,89.3%
2018,13/04/2018,49.1%,85.1%,89.5%,85.1%,84.5%,85.5%,,88.3%
2018,14/04/2018,43.7%,83.6%,92.2%,79.3%,80.4%,81.5%,,90.4%
2018,15/04/2018,44.9%,87.1%,98.1%,79.6%,82.4%,81.8%,,94.8%
2018,16/04/2018,49.4%,87.9%,99.2%,83.2%,86.0%,87.3%,,94.5%
2018,17/04/2018,42.3%,87.7%,94.2%,85.7%,86.7%,87.9%,,95.5%
2018,18/04/2018,42.3%,87.4%,94.2%,83.1%,87.6%,87.2%,,94.5%
2018,19/04/2018,38.7%,84.6%,90.9%,80.1%,88.4%,84.6%,,93.6%
2018,20/04/2018,33.9%,81.9%,91.2%,77.8%,85.6%,81.9%,,91.4%
2018,21/04/2018,33.3%,80.7%,90.4%,74.5%,82.6%,77.7%,,91.3%
2018,22/04/2018,35.1%,83.3%,90.4%,78.2%,83.9%,80.1%,,94.2%
2018,23/04/2018,39.9%,84.9%,95.2%,84.0%,87.9%,87.5%,,94.6%
2018,24/04/2018,41.7%,85.2%,94.5%,86.2%,89.4%,88.2%,,94.9%
2018,25/04/2018,38.7%,83.2%,92.7%,82.1%,89.0%,89.6%,,92.4%
2018,26/04/2018,31.5%,84.5%,90.1%,87.5%,88.2%,91.0%,,93.3%
2018,27/04/2018,29.8%,81.2%,89.1%,78.7%,80.3%,86.0%,,92.9%
2018,28/04/2018,31.0%,79.6%,87.6%,74.5%,77.7%,80.8%,,92.4%
2018,29/04/2018,33.3%,83.2%,91.6%,80.4%,80.7%,81.3%,,96.4%
2018,30/04/2018,33.9%,82.2%,93.5%,86.4%,82.9%,84.3%,,92.6%
2018,01/05/2018,71.2%,83.0%,96.0%,88.7%,83.2%,81.4%,,95.3%
2018,02/05/2018,64.3%,84.7%,99.0%,88.1%,87.6%,88.1%,,93.8%
2018,03/05/2018,67.1%,81.5%,96.3%,88.2%,88.8%,88.9%,,93.5%
2018,04/05/2018,58.6%,77.9%,94.1%,81.6%,85.4%,87.2%,,89.0%
2018,05/05/2018,55.7%,76.0%,92.3%,80.9%,80.8%,80.9%,,92.4%
2018,06/05/2018,65.7%,83.5%,97.7%,85.3%,83.5%,86.9%,,95.9%
2018,07/05/2018,62.9%,84.9%,99.7%,87.0%,89.9%,91.3%,,95.1%
2018,08/05/2018,64.3%,84.9%,97.7%,90.6%,89.9%,92.7%,,93.9%
2018,09/05/2018,68.6%,84.7%,98.1%,89.8%,87.6%,92.7%,,94.4%
2018,10/05/2018,64.3%,83.6%,98.1%,89.1%,87.3%,92.7%,,96.0%
2018,11/05/2018,52.9%,82.0%,92.7%,81.1%,85.2%,90.7%,,91.4%
2018,12/05/2018,52.9%,82.4%,94.5%,79.0%,83.4%,85.3%,,89.9%
2018,13/05/2018,65.7%,84.3%,97.0%,83.8%,84.8%,87.4%,,93.4%
2018,14/05/2018,78.6%,84.9%,98.2%,84.4%,87.4%,92.9%,,91.5%
2018,15/05/2018,72.9%,86.1%,99.4%,88.3%,87.6%,94.2%,,93.5%
2018,16/05/2018,57.1%,84.6%,93.4%,87.7%,86.1%,93.0%,,92.2%
2018,17/05/2018,45.7%,82.8%,95.3%,84.0%,85.4%,89.8%,,91.3%
2018,18/05/2018,41.4%,81.5%,88.3%,81.4%,83.3%,87.8%,,92.9%
2018,19/05/2018,53.2%,81.0%,91.0%,78.5%,77.4%,82.2%,,90.8%
2018,20/05/2018,61.7%,82.1%,95.5%,82.1%,79.8%,83.3%,,93.4%
2018,21/05/2018,78.7%,83.6%,95.5%,83.9%,83.7%,90.9%,,93.1%
2018,22/05/2018,76.6%,85.2%,97.5%,88.1%,83.8%,92.2%,,93.1%
2018,23/05/2018,57.4%,84.9%,92.2%,86.7%,83.9%,92.8%,,90.3%
2018,24/05/2018,51.1%,80.2%,87.9%,86.0%,84.4%,93.8%,,88.1%
2018,25/05/2018,53.2%,75.5%,87.0%,83.1%,79.5%,91.1%,,87.0%
2018,26/05/2018,40.4%,75.5%,88.6%,80.4%,75.8%,85.1%,,87.6%
2018,27/05/2018,44.7%,79.0%,92.4%,85.6%,78.0%,86.4%,,90.0%
2018,28/05/2018,38.3%,80.4%,94.4%,84.5%,81.5%,89.7%,,87.9%
2018,29/05/2018,36.2%,79.1%,96.4%,83.2%,78.1%,87.6%,,89.9%
2018,30/05/2018,27.7%,80.8%,94.6%,85.9%,81.7%,91.7%,,90.3%
2018,31/05/2018,0.0%,81.1%,91.3%,86.8%,79.5%,91.0%,,88.3%
2018,01/06/2018,0.0%,78.1%,90.9%,77.5%,80.8%,88.0%,,89.2%
2018,02/06/2018,0.0%,78.2%,92.0%,76.2%,76.1%,82.1%,,87.2%
2018,03/06/2018,34.1%,83.1%,99.0%,82.6%,79.7%,82.8%,,93.8%
2018,04/06/2018,33.5%,83.5%,100.0%,84.8%,84.5%,90.2%,,93.4%
2018,05/06/2018,31.8%,82.9%,98.3%,86.8%,86.4%,91.0%,,94.8%
2018,06/06/2018,39.8%,83.5%,97.8%,84.5%,86.7%,91.7%,,94.5%
2018,07/06/2018,43.2%,83.3%,96.1%,82.9%,86.5%,93.5%,,94.2%
2018,08/06/2018,44.9%,80.6%,94.9%,80.0%,80.7%,89.3%,,91.0%
2018,09/06/2018,46.6%,79.6%,93.8%,79.8%,77.9%,85.9%,,93.7%
2018,10/06/2018,48.3%,82.6%,98.2%,82.3%,80.2%,84.6%,,95.5%
2018,11/06/2018,47.2%,83.5%,98.9%,85.7%,84.5%,87.0%,,94.2%
2018,12/06/2018,45.5%,81.5%,98.5%,85.9%,85.8%,87.7%,,93.5%
2018,13/06/2018,44.3%,79.8%,96.7%,85.1%,83.6%,87.8%,,91.9%
2018,14/06/2018,37.5%,74.4%,90.4%,75.6%,78.6%,82.0%,,88.2%
2018,15/06/2018,42.0%,74.0%,93.1%,74.6%,73.5%,74.5%,,88.7%
2018,16/06/2018,43.8%,78.2%,95.9%,79.5%,73.6%,75.6%,,90.1%
2018,17/06/2018,45.5%,84.2%,99.7%,84.9%,76.7%,79.1%,,97.6%
2018,18/06/2018,42.0%,85.6%,100.0%,87.5%,82.2%,89.2%,,96.5%
2018,19/06/2018,40.9%,85.5%,97.8%,86.3%,87.0%,89.4%,,93.0%
2018,20/06/2018,38.1%,85.9%,98.8%,86.2%,85.3%,90.8%,,93.3%
2018,21/06/2018,40.3%,83.2%,94.4%,82.9%,82.2%,89.8%,,91.4%
