date,year,nuh,total_rainfall,wet_bulb_temperature,dengue,urti,diarrhea,injuries,day,month,is_holiday
2018-01-01,2018,73.5,32.2,25.2,12.0,3158.0,580.0,28.0,Mon,Jan,1
2018-01-02,2018,78.4,0.8,25.8,12.0,3158.0,580.0,28.0,Tue,Jan,0
2018-01-03,2018,83.1,2.0,26.5,12.0,3158.0,580.0,28.0,Wed,Jan,0
2018-01-04,2018,82.6,0.2,25.6,12.0,3158.0,580.0,28.0,Thu,Jan,0
2018-01-05,2018,79.8,1.0,25.4,12.0,3158.0,580.0,28.0,Fri,Jan,0
2018-01-06,2018,76.3,0.0,25.9,12.0,3158.0,580.0,28.0,Sat,Jan,0
2018-01-07,2018,77.2,0.0,26.2,10.0,3632.0,604.0,28.0,Sun,Jan,0
2018-01-08,2018,83.5,45.8,25.9,10.0,3632.0,604.0,28.0,Mon,Jan,0
2018-01-09,2018,85.3,1.8,26.2,10.0,3632.0,604.0,28.0,Tue,Jan,0
2018-01-10,2018,84.8,29.8,24.7,10.0,3632.0,604.0,28.0,Wed,Jan,0
2018-01-11,2018,86.4,10.4,24.2,10.0,3632.0,604.0,28.0,Thu,Jan,0
2018-01-12,2018,82.7,9.8,22.8,10.0,3632.0,604.0,28.0,Fri,Jan,0
2018-01-13,2018,79.3,42.2,22.7,10.0,3632.0,604.0,28.0,Sat,Jan,0
2018-01-14,2018,81.7,6.8,22.8,8.0,4234.0,583.0,28.0,Sun,Jan,0
2018-01-15,2018,87.2,1.4,24.6,8.0,4234.0,583.0,28.0,Mon,Jan,0
2018-01-16,2018,88.1,0.0,25.3,8.0,4234.0,583.0,28.0,Tue,Jan,0
2018-01-17,2018,89.0,0.0,25.5,8.0,4234.0,583.0,28.0,Wed,Jan,0
2018-01-18,2018,88.6,0.0,25.3,8.0,4234.0,583.0,28.0,Thu,Jan,0
2018-01-19,2018,86.4,2.6,25.9,8.0,4234.0,583.0,28.0,Fri,Jan,0
2018-01-20,2018,82.1,22.8,25.9,8.0,4234.0,583.0,28.0,Sat,Jan,0
2018-01-21,2018,85.6,0.6,26.3,6.0,4048.0,607.0,28.0,Sun,Jan,0
2018-01-22,2018,90.0,5.6,26.4,6.0,4048.0,607.0,28.0,Mon,Jan,0
2018-01-23,2018,93.0,6.8,26.2,6.0,4048.0,607.0,28.0,Tue,Jan,0
2018-01-24,2018,89.3,1.0,25.7,6.0,4048.0,607.0,28.0,Wed,Jan,0
2018-01-25,2018,86.6,0.6,25.5,6.0,4048.0,607.0,28.0,Thu,Jan,0
2018-01-26,2018,78.8,0.6,26.4,6.0,4048.0,607.0,28.0,Fri,Jan,0
2018-01-27,2018,76.6,6.6,26.3,6.0,4048.0,607.0,28.0,Sat,Jan,0
2018-01-28,2018,79.7,12.2,26.7,7.0,3960.0,583.0,28.0,Sun,Jan,0
2018-01-29,2018,88.1,0.0,26.3,7.0,3960.0,583.0,28.0,Mon,Jan,0
