date,year,nuh,total_rainfall,wet_bulb_temperature,dengue,urti,diarrhea,is_holiday,day_Mon,day_Sat,day_Sun,day_Thu,day_Tue,day_Wed,month_Aug,month_Dec,month_Feb,month_Jan,month_Jul,month_Jun,month_Mar,month_May,month_Nov,month_Oct,month_Sep
2022-01-01,2022,72.0,25.2,26.0,11.0,904.0,287.0,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-02,2022,73.7,50.0,24.1,15.0,977.0,297.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-03,2022,78.7,6.0,25.6,15.0,977.0,297.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-04,2022,79.1,4.8,25.8,15.0,977.0,297.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-05,2022,81.8,1.0,26.3,15.0,977.0,297.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2022-01-06,2022,77.1,0.0,25.7,15.0,977.0,297.0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-07,2022,83.2,0.0,26.5,15.0,977.0,297.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-08,2022,78.1,0.0,26.4,15.0,977.0,297.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-09,2022,78.5,0.0,26.2,21.0,1263.0,330.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-10,2022,81.6,0.0,25.6,21.0,1263.0,330.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-11,2022,82.1,0.0,25.7,21.0,1263.0,330.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-12,2022,81.9,0.0,25.1,21.0,1263.0,330.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2022-01-13,2022,80.4,0.0,25.1,21.0,1263.0,330.0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-14,2022,80.1,0.0,24.4,21.0,1263.0,330.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-15,2022,77.7,0.0,25.3,21.0,1263.0,330.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-16,2022,77.9,0.0,25.8,26.0,1567.0,316.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-17,2022,77.3,2.6,25.8,26.0,1567.0,316.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-18,2022,82.4,0.0,25.0,26.0,1567.0,316.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-19,2022,83.9,4.4,25.6,26.0,1567.0,316.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2022-01-20,2022,83.2,2.0,25.1,26.0,1567.0,316.0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-21,2022,76.3,0.0,25.5,26.0,1567.0,316.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-22,2022,78.1,0.0,25.2,26.0,1567.0,316.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-23,2022,78.0,0.0,25.4,24.0,1911.0,317.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-24,2022,80.6,0.0,25.4,24.0,1911.0,317.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-25,2022,80.6,0.0,25.6,24.0,1911.0,317.0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-26,2022,81.7,0.0,25.4,24.0,1911.0,317.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
2022-01-27,2022,82.9,0.0,25.0,24.0,1911.0,317.0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-28,2022,77.6,0.0,25.5,24.0,1911.0,317.0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-29,2022,73.0,0.0,25.6,24.0,1911.0,317.0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-30,2022,72.4,3.8,25.9,22.0,2945.0,363.0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-01-31,2022,67.5,0.0,25.8,22.0,2945.0,363.0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2022-02-01,2022,67.7,0.0,25.6,22.0,2945.0,363.0,1,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-02,2022,69.8,0.0,25.3,22.0,2945.0,363.0,1,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2022-02-03,2022,77.7,0.2,26.0,22.0,2945.0,363.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-04,2022,79.6,0.0,25.8,22.0,2945.0,363.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-05,2022,78.2,0.8,25.6,22.0,2945.0,363.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-06,2022,81.6,20.6,26.1,24.0,2645.0,323.0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-07,2022,85.1,0.8,25.5,24.0,2645.0,323.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-08,2022,85.6,1.6,26.3,24.0,2645.0,323.0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-09,2022,87.9,29.6,26.5,24.0,2645.0,323.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2022-02-10,2022,86.1,19.6,24.3,24.0,2645.0,323.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-11,2022,85.7,3.8,25.1,24.0,2645.0,323.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-12,2022,81.1,0.0,25.4,24.0,2645.0,323.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-13,2022,82.1,20.6,25.9,29.0,3256.0,317.0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-14,2022,88.5,1.2,26.1,29.0,3256.0,317.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-15,2022,90.3,0.0,26.7,29.0,3256.0,317.0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-16,2022,91.6,16.4,25.7,29.0,3256.0,317.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2022-02-17,2022,91.4,0.0,26.2,29.0,3256.0,317.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-18,2022,89.9,0.0,26.1,29.0,3256.0,317.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-19,2022,88.0,5.0,26.5,29.0,3256.0,317.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-20,2022,89.4,12.2,26.6,29.0,3247.0,293.0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-21,2022,91.8,0.0,26.3,29.0,3247.0,293.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-22,2022,92.9,0.0,25.4,29.0,3247.0,293.0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-23,2022,89.7,0.0,25.6,29.0,3247.0,293.0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
2022-02-24,2022,87.2,17.0,24.6,29.0,3247.0,293.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-25,2022,79.4,25.0,25.5,29.0,3247.0,293.0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-26,2022,79.8,0.0,25.1,29.0,3247.0,293.0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-27,2022,79.2,0.6,25.8,38.0,2982.0,309.0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-02-28,2022,81.3,0.0,25.9,38.0,2982.0,309.0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-03-01,2022,85.6,0.0,26.4,38.0,2982.0,309.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-02,2022,86.2,11.2,26.5,38.0,2982.0,309.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022-03-03,2022,87.2,2.2,26.3,38.0,2982.0,309.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-04,2022,85.6,0.0,26.1,38.0,2982.0,309.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-05,2022,85.5,7.0,25.8,38.0,2982.0,309.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-06,2022,88.2,3.6,25.7,53.0,2626.0,292.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-07,2022,93.6,1.2,26.5,53.0,2626.0,292.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-08,2022,92.1,0.0,26.2,53.0,2626.0,292.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-09,2022,89.0,0.0,26.6,53.0,2626.0,292.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022-03-10,2022,90.8,0.8,26.1,53.0,2626.0,292.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-11,2022,80.4,4.4,26.4,53.0,2626.0,292.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-12,2022,79.7,0.0,26.2,53.0,2626.0,292.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-13,2022,83.6,0.0,26.6,60.0,2071.0,269.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-14,2022,85.6,0.0,26.8,60.0,2071.0,269.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-15,2022,85.9,29.8,26.7,60.0,2071.0,269.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-16,2022,85.4,0.4,26.5,60.0,2071.0,269.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022-03-17,2022,85.6,9.6,26.6,60.0,2071.0,269.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-18,2022,82.0,0.8,26.8,60.0,2071.0,269.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-19,2022,79.0,0.0,26.8,60.0,2071.0,269.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-20,2022,81.4,0.0,26.2,63.0,1817.0,326.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-21,2022,82.1,2.6,26.0,63.0,1817.0,326.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-22,2022,92.5,5.0,27.4,63.0,1817.0,326.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-23,2022,84.7,0.4,27.3,63.0,1817.0,326.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022-03-24,2022,85.1,23.2,27.2,63.0,1817.0,326.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-25,2022,81.9,22.4,27.4,63.0,1817.0,326.0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-26,2022,83.9,0.2,27.2,63.0,1817.0,326.0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-27,2022,84.3,0.2,27.4,73.0,1497.0,328.0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-28,2022,88.3,36.2,27.8,73.0,1497.0,328.0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-29,2022,88.8,1.2,27.5,73.0,1497.0,328.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2022-03-30,2022,84.3,0.0,26.8,73.0,1497.0,328.0,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
2022-03-31,2022,84.8,0.8,26.5,73.0,1497.0,328.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2022-04-01,2022,82.8,0.0,27.0,73.0,1497.0,328.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-04-02,2022,80.0,11.6,26.9,73.0,1497.0,328.0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-04-03,2022,83.1,0.0,25.0,92.0,1469.0,374.0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-04-04,2022,87.4,0.0,25.9,92.0,1469.0,374.0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2022-04-05,2022,85.6,0.0,26.2,92.0,1469.0,374.0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2022-04-06,2022,85.7,11.6,26.1,92.0,1469.0,374.0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
