Year,Epidemiology Wk,Start,End,Dengue (Weekly),DHF (Weekly),Average Dengue + DHF (Daily),Acute Upper Respiratory Tract infections (Daily),Acute Diarrhoea (Daily)
2018,1,31/12/2017,6/1/2018,83,0,12,3158,580
2018,2,7/1/2018,13/1/2018,68,0,10,3632,604
2018,3,14/1/2018,20/1/2018,54,0,8,4234,583
2018,4,21/1/2018,27/1/2018,45,0,6,4048,607
2018,5,28/1/2018,3/2/2018,48,0,7,3960,583
2018,6,4/2/2018,10/2/2018,50,0,7,3983,560
2018,7,11/2/2018,17/2/2018,28,0,4,3911,543
2018,8,18/2/2018,24/2/2018,38,1,6,3513,585
2018,9,25/2/2018,3/3/2018,51,0,7,3174,572
2018,10,4/3/2018,10/3/2018,37,0,5,3012,550
2018,11,11/3/2018,17/3/2018,37,2,6,2694,498
2018,12,18/3/2018,24/3/2018,36,0,5,2806,552
2018,13,25/3/2018,31/3/2018,24,0,3,2797,532
2018,14,1/4/2018,7/4/2018,38,0,5,2968,565
2018,15,8/4/2018,14/4/2018,38,0,5,2959,601
2018,16,15/4/2018,21/4/2018,56,0,8,2984,575
2018,17,22/4/2018,28/4/2018,55,1,8,3044,568
2018,18,29/4/2018,5/5/2018,74,3,11,3249,574
2018,19,6/5/2018,12/5/2018,62,0,9,3131,575
2018,20,13/5/2018,19/5/2018,63,1,9,3075,598
2018,21,20/5/2018,26/5/2018,64,1,9,3089,609
2018,22,27/5/2018,2/6/2018,52,2,8,3023,563
2018,23,3/6/2018,9/6/2018,75,0,11,2701,524
2018,24,10/6/2018,16/6/2018,55,0,8,2403,466
2018,25,17/6/2018,23/6/2018,59,2,9,2597,534
2018,26,24/6/2018,30/6/2018,75,1,11,2987,603
2018,27,1/7/2018,7/7/2018,56,2,8,3173,592
2018,28,8/7/2018,14/7/2018,44,0,6,3384,649
2018,29,15/7/2018,21/7/2018,41,0,6,3202,634
2018,30,22/7/2018,28/7/2018,56,0,8,3033,624
2018,31,29/7/2018,4/8/2018,50,1,7,3006,647
2018,32,5/8/2018,11/8/2018,59,0,8,2890,611
2018,33,12/8/2018,18/8/2018,42,1,6,2873,607
2018,34,19/8/2018,25/8/2018,66,2,10,2816,649
2018,35,26/8/2018,1/9/2018,75,0,11,2519,566
2018,36,2/9/2018,8/9/2018,75,1,11,2422,499
2018,37,9/9/2018,15/9/2018,49,0,7,2893,593
2018,38,16/9/2018,22/9/2018,63,0,9,2845,606
2018,39,23/9/2018,29/9/2018,40,0,6,2767,571
2018,40,30/9/2018,6/10/2018,51,0,7,2659,578
2018,41,7/10/2018,13/10/2018,51,0,7,2656,577
2018,42,14/10/2018,20/10/2018,60,2,9,2904,620
2018,43,21/10/2018,27/10/2018,78,0,11,2947,616
2018,44,28/10/2018,3/11/2018,75,0,11,3016,584
2018,45,4/11/2018,10/11/2018,71,0,10,3321,615
2018,46,11/11/2018,17/11/2018,78,0,11,3272,593
2018,47,18/11/2018,24/11/2018,97,0,14,3386,568
2018,48,25/11/2018,1/12/2018,109,0,16,3295,543
2018,49,2/12/2018,8/12/2018,114,1,16,3138,543
2018,50,9/12/2018,15/12/2018,107,1,15,3036,509
2018,51,16/12/2018,22/12/2018,127,1,18,2915,502
2018,52,23/12/2018,29/12/2018,160,0,23,3420,590
2019,1,30/12/2018,5/1/2019,205,2,30,3478,631
2019,2,6/1/2019,12/1/2019,245,0,35,3291,620
2019,3,13/1/2019,19/1/2019,207,8,31,3391,633
2019,4,20/1/2019,26/1/2019,221,1,32,3408,601
2019,5,27/1/2019,2/2/2019,179,3,26,3428,590
2019,6,3/2/2019,9/2/2019,135,3,20,3658,755
2019,7,10/2/2019,16/2/2019,232,3,34,3237,659
2019,8,17/2/2019,23/2/2019,181,1,26,3063,622
2019,9,24/2/2019,2/3/2019,156,1,22,2920,589
2019,10,3/3/2019,9/3/2019,133,1,19,2949,593
2019,11,10/3/2019,16/3/2019,109,0,16,2881,582
2019,12,17/3/2019,23/3/2019,96,1,14,2591,507
2019,13,24/3/2019,30/3/2019,99,1,14,2687,584
2019,14,31/3/2019,6/4/2019,108,0,15,2834,609
2019,15,7/4/2019,13/4/2019,125,0,18,2870,586
2019,16,14/4/2019,20/4/2019,134,1,19,2995,614
2019,17,21/4/2019,27/4/2019,156,1,22,2963,645
2019,18,28/4/2019,4/5/2019,192,2,28,3224,684
2019,19,5/5/2019,11/5/2019,287,0,41,3184,643
2019,20,12/5/2019,18/5/2019,307,2,44,3060,674
2019,21,19/5/2019,25/5/2019,376,2,54,3210,675
2019,22,26/5/2019,1/6/2019,400,1,57,3017,637
2019,23,2/6/2019,8/6/2019,396,4,57,2824,640
2019,24,9/6/2019,15/6/2019,464,3,67,2797,513
2019,25,16/6/2019,22/6/2019,430,3,62,2824,554
2019,26,23/6/2019,29/6/2019,492,5,71,2957,593
2019,27,30/6/2019,6/7/2019,591,2,85,3182,679
2019,28,7/7/2019,13/7/2019,661,2,95,3312,726
2019,29,14/7/2019,20/7/2019,644,2,92,3290,697
2019,30,21/7/2019,27/7/2019,601,4,86,3256,751
2019,31,28/7/2019,3/8/2019,597,2,86,3102,744
2019,32,4/8/2019,10/8/2019,521,2,75,2837,696
2019,33,11/8/2019,17/8/2019,522,2,75,2794,727
2019,34,18/8/2019,24/8/2019,474,0,68,2621,729
2019,35,25/8/2019,31/8/2019,412,2,59,2510,672
2019,36,1/9/2019,7/9/2019,326,1,47,2393,610
2019,37,8/9/2019,14/9/2019,314,3,45,2286,539
2019,38,15/9/2019,21/9/2019,299,2,43,2720,571
2019,39,22/9/2019,28/9/2019,258,3,37,2564,578
2019,40,29/9/2019,5/10/2019,243,3,35,2619,572
2019,41,6/10/2019,12/10/2019,227,1,33,2848,566
2019,42,13/10/2019,19/10/2019,239,0,34,2987,565
2019,43,20/10/2019,26/10/2019,241,1,35,2952,585
2019,44,27/10/2019,2/11/2019,306,2,44,3208,627
2019,45,3/11/2019,9/11/2019,321,1,46,3156,586
2019,46,10/11/2019,16/11/2019,372,1,53,3115,581
2019,47,17/11/2019,23/11/2019,328,2,47,3101,559
2019,48,24/11/2019,30/11/2019,295,0,42,2966,542
2019,49,1/12/2019,7/12/2019,280,1,40,2966,526
2019,50,8/12/2019,14/12/2019,257,0,37,3062,490
2019,51,15/12/2019,21/12/2019,226,0,32,3050,511
2019,52,22/12/2019,28/12/2019,290,0,41,3701,598
2020,1,29/12/2019,4/1/2020,302,1,43,3842,640
2020,2,5/1/2020,11/1/2020,342,1,49,3585,604
2020,3,12/1/2020,18/1/2020,402,2,58,3708,589
2020,4,19/1/2020,25/1/2020,307,2,44,3811,626
2020,5,26/1/2020,1/2/2020,370,0,53,4728,541
2020,6,2/2/2020,8/2/2020,400,0,57,3791,539
2020,7,9/2/2020,15/2/2020,378,2,54,3150,431
2020,8,16/2/2020,22/2/2020,380,1,54,2826,407
2020,9,23/2/2020,29/2/2020,373,1,53,2473,404
2020,10,1/3/2020,7/3/2020,375,0,54,2317,399
2020,11,8/3/2020,14/3/2020,389,0,56,2288,369
2020,12,15/3/2020,21/3/2020,367,1,53,2378,367
2020,13,22/3/2020,28/3/2020,377,0,54,2592,344
2020,14,29/3/2020,4/4/2020,315,0,45,2065,259
2020,15,5/4/2020,11/4/2020,341,2,49,1558,179
2020,16,12/4/2020,18/4/2020,360,0,51,1121,140
2020,17,19/4/2020,25/4/2020,399,1,57,835,135
2020,18,26/4/2020,2/5/2020,390,0,56,683,140
2020,19,3/5/2020,9/5/2020,502,5,72,620,148
2020,20,10/5/2020,16/5/2020,524,2,75,575,141
2020,21,17/5/2020,23/5/2020,618,1,88,505,153
2020,22,24/5/2020,30/5/2020,731,1,105,571,141
2020,23,31/5/2020,6/6/2020,868,0,124,268,55
2020,24,7/6/2020,13/6/2020,1151,2,165,839,199
2020,25,14/6/2020,20/6/2020,1369,2,196,808,216
2020,26,21/6/2020,27/6/2020,1460,0,209,829,261
2020,27,28/6/2020,4/7/2020,1444,4,207,859,292
2020,28,5/7/2020,11/7/2020,1665,2,238,663,233
2020,29,12/7/2020,18/7/2020,1725,4,247,871,308
2020,30,19/7/2020,25/7/2020,1791,1,256,709,285
2020,31,26/7/2020,1/8/2020,1376,2,197,762,342
2020,32,2/8/2020,8/8/2020,1667,0,238,780,336
2020,33,9/8/2020,15/8/2020,1336,3,191,710,362
2020,34,16/8/2020,22/8/2020,1285,2,184,705,343
2020,35,23/8/2020,29/8/2020,1153,1,165,730,355
2020,36,30/8/2020,5/9/2020,937,1,134,692,314
2020,37,6/9/2020,12/9/2020,725,0,104,818,291
2020,38,13/9/2020,19/9/2020,671,0,96,1123,335
2020,39,20/9/2020,26/9/2020,590,1,84,1218,339
