,rating_num_weights,rating_average_weight,playing_time,min_age,min_players,max_players,mechanics,categories,families
Pandemic Legacy: Season 1,1453,2.8314,60,13,2,4,"['Action Points', 'Cooperative Game', 'Hand Management', 'Legacy Game', 'Point to Point Movement', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Tags', 'Trading', 'Variable Player Powers']","['Environmental', 'Medical']","['Components: Map (Global Scale)', 'Components: Multi-Use Cards', 'Game: Pandemic', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Medical: Diseases', 'Misc: Limited Replayability', 'Misc: Made by Panda', 'Occupation: Dispatcher', 'Occupation: Medic / Doctor / Nurses', 'Occupation: Researcher / Scientist', 'Region: The World', 'Theme: Science', 'Versions & Editions: Legacy Versions of Non-Legacy Games']"
Gloomhaven,2556,3.9112,120,14,1,4,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Tags', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Map (City Scale)', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Creatures: Demons', 'Creatures: Dragons', 'Creatures: Monsters', 'Crowdfunding: Kickstarter', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Made by Panda', 'Players: Games with Solitaire Rules']"
Twilight Imperium: Fourth Edition,1155,4.3134,480,14,3,6,"['Action Drafting', 'Area-Impulse', 'Dice Rolling', 'Follow', 'Grid Movement', 'Hexagon Grid', 'Increase Value of Unchosen Resources', 'King of the Hill', 'Modular Board', 'Race', 'Tech Trees / Tech Tracks', 'Trading', 'Variable Phase Order', 'Variable Player Powers', 'Variable Set-up', 'Voting']","['Civilization', 'Economic', 'Exploration', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Components: Hexagonal Tiles', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Game: Twilight Imperium', 'Mechanism: 4X', 'Misc: Made by Panda']"
War of the Ring: Second Edition,1174,4.2155,180,13,2,4,"['Action Drafting', 'Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Dice Rolling', 'Events', 'Hand Management', 'Movement Points', 'Team-Based Game', 'Variable Set-up']","['Fantasy', 'Fighting', 'Miniatures', 'Novel-based', 'Territory Building', 'Wargame']","['Authors: J.R.R. Tolkien', 'Category: Dized Tutorial', 'Components: Map (Continental / National scale)', 'Components: Miniatures', 'Creatures: Monsters', 'Series: War of the Ring (Nexus/Ares Games)']"
Star Wars: Rebellion,1126,3.7425,240,14,2,4,"['Area Majority / Influence', 'Area Movement', 'Area-Impulse', 'Card Play Conflict Resolution', 'Contracts', 'Delayed Purchase', 'Dice Rolling', 'Die Icon Resolution', 'Events', 'Hand Management', 'Hidden Movement', 'Income', 'Once-Per-Game Abilities', 'Tags', 'Take That', 'Team-Based Game', 'Variable Player Powers', 'Variable Set-up', 'Worker Placement, Different Worker Types']","['Civil War', 'Miniatures', 'Movies / TV / Radio theme', 'Science Fiction', 'Space Exploration', 'Wargame']","['Category: Two Player Fighting Games', 'Components: Map (Interplanetary or Interstellar scale)', 'Components: Miniatures', 'Components: Standees', 'Creatures: Aliens / Extraterrestrials', 'Movies: Star Wars', 'Players: Two-Player Only Games', 'Players: Wargames with Rules Supporting Only Two Players']"
Gloomhaven: Jaws of the Lion,980,3.6378,120,14,1,4,"['Action Queue', 'Action Retrieval', 'Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Critical Hits and Failures', 'Deck Construction', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Line of Sight', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Book as Board', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Digital Implementations: Steam', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Misc: Limited Replayability', 'Misc: Watch It Played How To Videos', 'Players: Games with Solitaire Rules']"
Nemesis,1107,3.4634,180,12,1,5,"['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Hidden Roles', 'Interrupts', 'Modular Board', 'Player Elimination', 'Semi-Cooperative Game', 'Solo / Solitaire Game', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers']","['Adventure', 'Horror', 'Miniatures', 'Science Fiction']","['Category: Dungeon Crawler', 'Components: Dice with Icons', 'Components: Miniatures', 'Components: Polyhedral (not D6) dice', 'Creatures: Aliens / Extraterrestrials', 'Crowdfunding: Kickstarter', 'Crowdfunding: Modian', 'Game: Nemesis', 'Misc: Eastar Game Manufacturing', 'Players: Games with Solitaire Rules']"
Clank! Legacy: Acquisitions Incorporated,142,2.7254,120,13,2,4,"['Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Events', 'Legacy Game', 'Map Addition', 'Movement Points', 'Narrative Choice / Paragraph', 'Once-Per-Game Abilities', 'Open Drafting', 'Pick-up and Deliver', 'Player Elimination', 'Point to Point Movement', 'Push Your Luck', 'Scenario / Mission / Campaign Game', 'Set Collection', 'Variable Player Powers', 'Variable Set-up']","['Adventure', 'Fantasy', 'Miniatures']","['Components: Miniatures', 'Creatures: Dragons', 'Creatures: Goblins', 'Game: Clank!', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Versions & Editions: Legacy Versions of Non-Legacy Games']"
Arkham Horror: The Card Game,1428,3.5378,120,14,1,2,"['Action Points', 'Area Movement', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Events', 'Hand Management', 'Map Deformation', 'Modular Board', 'Push Your Luck', 'Role Playing', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Stat Check Resolution', 'Variable Player Powers']","['Adventure', 'Card Game', 'Collectible Components', 'Exploration', 'Horror', 'Novel-based']","['Collectible: Living Card Game (Fantasy Flight Games)', 'Game: Arkham Horror – The Card Game', 'Mechanism: Campaign Games', 'Players: Games with Solitaire Rules', 'Series: Arkham Horror Files (Fantasy Flight Games)', 'Theme: Cthulhu Mythos', 'Versions & Editions: Card Versions of Non-Card Games']"
Frosthaven,359,4.3565,180,14,1,4,"['Campaign / Battle Card Driven', 'Communication Limits', 'Cooperative Game', 'Deck Construction', 'Deck, Bag, and Pool Building', 'Grid Movement', 'Hand Management', 'Hexagon Grid', 'Legacy Game', 'Modular Board', 'Multi-Use Cards', 'Once-Per-Game Abilities', 'Scenario / Mission / Campaign Game', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Variable Player Powers']","['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Category: Dungeon Crawler', 'Components: Miniatures', 'Components: Multi-Use Cards', 'Components: Standees', 'Crowdfunding: Kickstarter', 'Digital Implementations: TableTop Simulator Mod (TTS)', 'Game: Gloomhaven', 'Mechanism: Campaign Games', 'Mechanism: Legacy', 'Misc: Forteller Audio Narration', 'Players: Games with Solitaire Rules']"
